"index","book_id","book_title","publication_info","author","num_ratings","num_reviews","average_rating","publication_date"
118,1061,"Trevanian: Four Complete Novels: The Eiger Sanction / The Loo Sanction / The Main / Shibumi","First published ","Trevanian",145,8,"4.37","1984-01-01"
119,1067,"1776","First published ","David McCullough",230852,8515,"4.09","2005-05-24"
120,1078,"The Good Earth","First published ","Pearl S. Buck",250286,11717,"4.00","1931-03-02"
121,1097,"Fast Food Nation: The Dark Side of the All-American Meal","First published ","Eric Schlosser",205761,5696,"3.75","2001-01-17"
122,1103,"Snow Flower and the Secret Fan","First published ","Lisa See",373239,19871,"4.09","2005-02-21"
123,1110,"The Broker","First published ","John Grisham",96712,3629,"3.83","2005-01-10"
124,1111,"The Power Broker: Robert Moses and the Fall of New York","First published ","Robert A. Caro",21779,2487,"4.47","1974-09-16"
125,1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","First published ","Steven D. Levitt",853477,19283,"4.01","2005-04-12"
126,1232,"The Shadow of the Wind","First published ","Carlos Ruiz Zafón",639421,51706,"4.30","2001-05-01"
127,1241,"A Million Little Pieces","First published ","James Frey",253627,12621,"3.68","2003-01-01"
128,1274,"Men Are from Mars, Women Are from Venus","First published ","John  Gray",190428,7751,"3.58","1992-01-01"
129,1295,"The Clan of the Cave Bear","First published ","Jean M. Auel",267968,8110,"4.09","1980-05-04"
130,1301,"Moneyball","First published ","Michael   Lewis",132187,6020,"4.26","2003-01-01"
131,1303,"The 48 Laws of Power","First published ","Robert Greene",158218,8458,"4.13","1998-01-01"
132,1305,"Gates of Fire","First published ","Steven Pressfield",38686,2733,"4.40","1998-10-20"
133,1319,"The War of Art: Winning the Inner Creative Battle","First published ","Steven Pressfield",104054,8177,"3.99","2002-01-01"
134,1362,"The Histories","First published ","Herodotus",51817,1639,"4.00","0431-01-01"
136,1375,"The Iliad / The Odyssey","First published ","Homer",76215,1166,"4.06","0801-01-01"
137,1381,"The Odyssey","First published ","Homer",1086314,19416,"3.81","0701-01-01"
138,1420,"Hamlet","First published ","William Shakespeare",957747,22688,"4.02","1601-01-01"
139,1423,"The Compleat Works of Wllm Shkspr","First published ","Reduced Shakespeare Company",9410,174,"4.44","2000-02-01"
140,1426,"Warrior of the Light","First published ","Paulo Coelho",38934,2051,"3.69","1997-01-01"
141,1427,"The Zahir","First published ","Paulo Coelho",78816,3858,"3.58","2005-01-01"
142,1428,"By the River Piedra I Sat Down and Wept","First published ","Paulo Coelho",102617,4682,"3.57","1994-01-01"
143,1429,"The Fifth Mountain","First published ","Paulo Coelho",43929,1863,"3.63","1996-01-01"
144,1430,"Eleven Minutes","First published ","Paulo Coelho",177710,8278,"3.71","2003-01-01"
145,1431,"Veronika Decides to Die","First published ","Paulo Coelho",222271,11158,"3.73","1998-01-01"
146,1496,"Iphigenia in Aulis","First published ","Euripides",5353,276,"4.03","0406-01-01"
147,1519,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides","First published ","Aeschylus",43542,1747,"4.01","0459-01-01"
148,1540,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone","First published ","Sophocles",67195,2470,"3.99","0451-01-01"
149,1554,"Oedipus Rex","First published ","Sophocles",217657,6336,"3.72","0430-01-01"
150,1591,"Lysistrata","First published ","Aristophanes",43324,1620,"3.85","0424-01-01"
151,1617,"Night","First published ","Elie Wiesel",1250839,38142,"4.37","1956-01-01"
152,1618,"The Curious Incident of the Dog in the Night-Time","First published ","Mark Haddon",1484352,55859,"3.89","2003-07-31"
153,1622,"A Midsummer Night’s Dream","First published ","William Shakespeare",542203,12724,"3.95","1595-01-01"
154,1624,"West with the Night","First published ","Beryl Markham",38418,3903,"4.15","1942-01-01"
155,1625,"Twelfth Night","First published ","William Shakespeare",183234,5862,"3.97","1601-01-01"
156,1627,"Brokeback Mountain","First published ","Annie Proulx",44581,4266,"3.99","1997-10-13"
157,1633,"Getting Things Done: The Art of Stress-Free Productivity","First published ","David    Allen",158352,6404,"4.01","2001-01-01"
158,1677,"Sobre héroes y tumbas","First published ","Ernesto Sabato",12429,711,"4.26","1961-01-01"
159,1715,"Metamorphoses","First published ","Ovid",71613,2537,"4.09","0008-01-01"
160,1842,"Guns, Germs, and Steel: The Fates of Human Societies","First published ","Jared Diamond",412715,14330,"4.04","1997-05-09"
161,1845,"Into the Wild","First published ","Jon Krakauer",1094786,28827,"4.01","1996-01-13"
162,1848,"Wild Swans: Three Daughters of China","First published ","Jung Chang",113437,7325,"4.28","1991-01-01"
163,1849,"Wild Fire","First published ","Nelson DeMille",28856,1327,"4.05","2006-11-06"
164,1852,"The Call of the Wild","First published ","Jack London",432360,15724,"3.90","1903-01-01"
165,1869,"Nickel and Dimed: On (Not) Getting By in America","First published ","Barbara Ehrenreich",191577,7395,"3.65","2001-05-08"
166,1875,"The History of Sexuality, Volume 1: An Introduction","First published ","Michel Foucault",23213,1264,"4.02","1976-11-17"
167,1878,"The History of Sexuality, Volume 2: The Use of Pleasure","First published ","Michel Foucault",4168,158,"4.07","1984-01-01"
168,1885,"Pride and Prejudice","First published ","Jane Austen",4290511,116215,"4.29","1813-01-28"
169,1898,"Into Thin Air: A Personal Account of the Mt. Everest Disaster","First published ","Jon Krakauer",508481,18964,"4.24","1997-05-01"
170,1911,"The World Is Flat: A Brief History of the Twenty-first Century","First published ","Thomas L. Friedman",101842,3699,"3.69","2005-01-01"
171,1934,"Little Women","First published ","Louisa May Alcott",2245804,52283,"4.15","1868-09-30"
172,1953,"A Tale of Two Cities","First published ","Charles Dickens",950332,23605,"3.87","1859-11-26"
173,1990,"Martin Chuzzlewit","First published ","Charles Dickens",16377,868,"3.83","1844-01-01"
174,2011,"The Dosadi Experiment","First published ","Frank Herbert",7729,246,"3.83","1977-01-01"
175,2012,"Whipping Star","First published ","Frank Herbert",3646,219,"3.67","1969-11-30"
176,2049,"The High Window","First published ","Raymond Chandler",23179,1238,"4.04","1942-08-17"
177,2050,"Farewell, My Lovely","First published ","Raymond Chandler",39574,2341,"4.10","1940-01-01"
178,2052,"The Big Sleep","First published ","Raymond Chandler",156060,7930,"3.95","1939-02-06"
179,2054,"The Long Goodbye","First published ","Raymond Chandler",42719,2823,"4.19","1953-01-01"
180,2067,"Breaking the Spell: Religion as a Natural Phenomenon","First published ","Daniel C. Dennett",12548,536,"3.89","2006-02-02"
181,2068,"Darwin's Dangerous Idea: Evolution and the Meanings of Life","First published ","Daniel C. Dennett",16471,352,"4.07","1995-05-10"
182,2071,"Freedom Evolves","First published ","Daniel C. Dennett",2796,134,"3.82","2003-01-01"
183,2081,"The Mind’s I: Fantasies and Reflections on Self and Soul","First published ","Douglas R. Hofstadter",5841,155,"4.15","1981-01-01"
184,2094,"A Briefer History of Time","First published ","Stephen Hawking",39653,1637,"4.26","2005-09-01"
185,2095,"The Universe in a Nutshell","First published ","Stephen Hawking",42769,1277,"4.18","2001-10-06"
186,2115,"Atlas Shrugged & The Fountainhead","First published ","Ayn Rand",4882,223,"4.10","1995-01-01"
187,2122,"The Fountainhead","First published ","Ayn Rand",324071,14327,"3.88","1943-04-15"
188,2139,"Flesh and Blood","First published ","Michael Cunningham",6101,491,"4.05","1995-01-01"
189,2152,"The Jane Austen Book Club","First published ","Karen Joy Fowler",69909,5027,"3.10","2004-04-22"
190,2156,"Persuasion","First published ","Jane Austen",705734,33278,"4.15","1817-12-20"
191,2159,"Confessions of an Economic Hit Man","First published ","John Perkins",37377,3902,"3.87","2004-01-01"
192,2165,"The Old Man and the Sea","First published ","Ernest Hemingway",1155560,40154,"3.80","1952-09-01"
193,2175,"Madame Bovary","First published ","Gustave Flaubert",336212,16516,"3.70","1856-12-15"
194,2183,"Sentimental Education","First published ","Gustave Flaubert",22403,1245,"3.81","1869-04-15"
195,2187,"Middlesex","First published ","Jeffrey Eugenides",640270,26290,"4.03","2002-09-04"
196,2199,"Team of Rivals: The Political Genius of Abraham Lincoln","First published ","Doris Kearns Goodwin",187022,8315,"4.28","2005-10-25"
197,2203,"John Adams","First published ","David McCullough",361986,7237,"4.08","2001-05-01"
198,2255,"Way of the Peaceful Warrior: A Book That Changes Lives","First published ","Dan Millman",53501,2485,"4.13","1980-01-01"
199,2265,"It's Not About the Bike: My Journey Back to Life","First published ","Lance Armstrong",40728,2116,"3.71","1999-11-08"
200,2279,"Truman","First published ","David McCullough",87824,2884,"4.16","1992-06-15"
201,2287,"Other Voices, Other Rooms","First published ","Truman Capote",16048,1223,"3.77","1948-01-01"
202,2336,"Tandia","First published ","Bryce Courtenay",11476,533,"4.09","1992-01-01"
203,2338,"Matthew Flinders' Cat","First published ","Bryce Courtenay",3683,228,"3.86","2002-01-01"
204,2339,"Jessica","First published ","Bryce Courtenay",10851,619,"4.24","1998-01-01"
